raw_transaction_string,category_label
EFT TRADER JOES,Groceries
EFT PUMP,Fuel/Gas
DEBIT PURCHASE LYFT LOC:EAST1661,Transport
DEBIT PURCHASE SUSHI ID:GEWT57297732507583,Coffee/Dining
CARD PURCHASE DOCTOR,Health/Fitness
DEBIT PURCHASE RALPHS,Groceries
VISA POS TARGET,Shopping
POS SALE AMAZON.COM,Shopping
DEBIT PURCHASE CHEVRON,Fuel/Gas
DEBIT PURCHASE METRO RAIL,Transport
DEBIT PURCHASE GROCERY,Groceries
VISA POS AMAZON.COM T:071098,Shopping
EFT RETAIL,Shopping
DEBIT PURCHASE CAFE T:071098,Coffee/Dining
DEBIT PURCHASE STARBUCKS LOC:EAST1661,Coffee/Dining
VISA POS LYFT,Transport
EFT AMAZON.COM 836,Shopping
VISA POS GAS STATION T:071098,Fuel/Gas
ELEC BILL,Utilities
CARD PURCHASE AMAZON.COM,Shopping
EFT RETAIL 836,Shopping
DEBIT PURCHASE WHOLE FOODS,Groceries
POS SALE AMAZON.COM,Shopping
EFT GROCERY T:071098,Groceries
EFT PIZZA LOC:EAST1661,Coffee/Dining
ELEC BILL ID:GEWT57297732507583,Utilities
CARD PURCHASE RALPHS 836,Groceries
POS SALE PHARMACY T:071098,Health/Fitness
EFT GAS STATION,Fuel/Gas
DEBIT PURCHASE APPLE STORE T:071098,Shopping
POS SALE MARKET,Groceries
EFT GYM MEMBERSHIP T:071098,Health/Fitness
SALARY,Transfer/Income
POS SALE GROCERY T:071098,Groceries
EFT RETAIL,Shopping
CARD PURCHASE BEST BUY,Shopping
CARD PURCHASE RALPHS ID:GEWT57297732507583,Groceries
POS SALE CAFE,Coffee/Dining
DEBIT PURCHASE GROCERY,Groceries
VISA POS CHEVRON,Fuel/Gas
EFT PHARMACY ID:GEWT57297732507583,Health/Fitness
SALARY,Transfer/Income
DEBIT PURCHASE RALPHS T:071098,Groceries
POS SALE TRADER JOES,Groceries
POS SALE MARKET 836,Groceries
CARD PURCHASE GROCERY 836,Groceries
POS SALE CHEVRON 836,Fuel/Gas
VISA POS MCDONALDS LOC:EAST1661,Coffee/Dining
VISA POS PUMP,Fuel/Gas
TRANSFER,Transfer/Income
CARD PURCHASE TOLL ID:GEWT57297732507583,Transport
POS SALE RALPHS 836,Groceries
CARD PURCHASE APPLE STORE T:071098,Shopping
POS SALE WHOLE FOODS 836,Groceries
EFT GROCERY,Groceries
WATER SERVICE,Utilities
POS SALE MARKET 836,Groceries
CARD PURCHASE GROCERY,Groceries
DEBIT PURCHASE WHOLE FOODS,Groceries
EFT TRADER JOES,Groceries
DEBIT PURCHASE STARBUCKS 836,Coffee/Dining
DEBIT PURCHASE GROCERY LOC:EAST1661,Groceries
CARD PURCHASE PIZZA 836,Coffee/Dining
DEBIT PURCHASE TARGET,Shopping
CARD PURCHASE MARKET 836,Groceries
CARD PURCHASE TRADER JOES,Groceries
TRANSFER,Transfer/Income
TRANSFER,Transfer/Income
CARD PURCHASE PIZZA,Coffee/Dining
SALARY ID:GEWT57297732507583,Transfer/Income
PAYROLL 836,Transfer/Income
VISA POS TRADER JOES ID:GEWT57297732507583,Groceries
EFT RETAIL,Shopping
VISA POS PUMP ID:GEWT57297732507583,Fuel/Gas
CARD PURCHASE PIZZA ID:GEWT57297732507583,Coffee/Dining
VISA POS APPLE STORE ID:GEWT57297732507583,Shopping
EFT TRADER JOES,Groceries
SALARY,Transfer/Income
EFT APPLE STORE,Shopping
POS SALE MARKET LOC:EAST1661,Groceries
POS SALE METRO RAIL,Transport
CARD PURCHASE GAS STATION,Fuel/Gas
EFT PUMP,Fuel/Gas
WATER SERVICE ID:GEWT57297732507583,Utilities
VISA POS RESTAURANT ID:GEWT57297732507583,Coffee/Dining
TRANSFER 836,Transfer/Income
POS SALE PUMP,Fuel/Gas
POS SALE APPLE STORE,Shopping
DEBIT PURCHASE MCDONALDS,Coffee/Dining
CARD PURCHASE RETAIL LOC:EAST1661,Shopping
POS SALE SUSHI,Coffee/Dining
EFT CHEVRON,Fuel/Gas
CARD PURCHASE AMAZON.COM LOC:EAST1661,Shopping
POS SALE RESTAURANT LOC:EAST1661,Coffee/Dining
CARD PURCHASE SUSHI,Coffee/Dining
VISA POS PUMP,Fuel/Gas
DEBIT PURCHASE WHOLE FOODS,Groceries
EFT SUSHI ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE EXXON,Fuel/Gas
VISA POS RETAIL,Shopping
CABLE,Utilities
VENMO CASH IN ID:GEWT57297732507583,Transfer/Income
DEBIT PURCHASE RETAIL,Shopping
DEBIT PURCHASE DOCTOR,Health/Fitness
PAYROLL ID:GEWT57297732507583,Transfer/Income
DEBIT PURCHASE WHOLE FOODS T:071098,Groceries
POS SALE TRADER JOES,Groceries
POS SALE TARGET 836,Shopping
VENMO CASH IN T:071098,Transfer/Income
VISA POS BEST BUY T:071098,Shopping
POS SALE STARBUCKS 836,Coffee/Dining
EFT RALPHS,Groceries
DEBIT PURCHASE RALPHS,Groceries
VENMO CASH IN 836,Transfer/Income
EFT UBER TRIP,Transport
DEBIT PURCHASE MCDONALDS,Coffee/Dining
CARD PURCHASE TARGET,Shopping
EFT MCDONALDS,Coffee/Dining
DEBIT PURCHASE MCDONALDS ID:GEWT57297732507583,Coffee/Dining
SALARY,Transfer/Income
DEBIT PURCHASE DOCTOR 836,Health/Fitness
TRANSFER,Transfer/Income
EFT TARGET T:071098,Shopping
POS SALE METRO RAIL,Transport
CARD PURCHASE DOCTOR ID:GEWT57297732507583,Health/Fitness
EFT RETAIL,Shopping
AEP,Utilities
EFT GYM MEMBERSHIP T:071098,Health/Fitness
VISA POS TOLL,Transport
VISA POS PUMP,Fuel/Gas
VISA POS TRADER JOES,Groceries
EFT TARGET,Shopping
DEBIT PURCHASE MARKET,Groceries
POS SALE TARGET LOC:EAST1661,Shopping
CARD PURCHASE MARKET,Groceries
CARD PURCHASE BEST BUY T:071098,Shopping
CARD PURCHASE TARGET,Shopping
DEBIT PURCHASE PUMP,Fuel/Gas
DEBIT PURCHASE RALPHS,Groceries
VISA POS EXXON,Fuel/Gas
POS SALE SUSHI LOC:EAST1661,Coffee/Dining
EFT PUMP LOC:EAST1661,Fuel/Gas
TRANSFER,Transfer/Income
POS SALE WHOLE FOODS T:071098,Groceries
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
POS SALE RALPHS,Groceries
CARD PURCHASE APPLE STORE,Shopping
CARD PURCHASE MARKET ID:GEWT57297732507583,Groceries
VISA POS SHELL GAS 836,Fuel/Gas
POS SALE MARKET,Groceries
CARD PURCHASE RALPHS,Groceries
VISA POS WHOLE FOODS LOC:EAST1661,Groceries
POS SALE WHOLE FOODS,Groceries
DEBIT PURCHASE GAS STATION T:071098,Fuel/Gas
CARD PURCHASE TOLL T:071098,Transport
DEBIT PURCHASE CHEVRON 836,Fuel/Gas
PAYROLL,Transfer/Income
DEBIT PURCHASE GROCERY,Groceries
CARD PURCHASE STARBUCKS,Coffee/Dining
CARD PURCHASE TRADER JOES 836,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
CARD PURCHASE SUSHI,Coffee/Dining
EFT GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE TRADER JOES,Groceries
POS SALE RALPHS 836,Groceries
EFT AMAZON.COM,Shopping
DEBIT PURCHASE CAFE,Coffee/Dining
VISA POS WHOLE FOODS ID:GEWT57297732507583,Groceries
EFT CAFE,Coffee/Dining
AEP,Utilities
DEBIT PURCHASE GROCERY LOC:EAST1661,Groceries
TRANSFER,Transfer/Income
SALARY,Transfer/Income
VENMO CASH IN,Transfer/Income
EFT PIZZA,Coffee/Dining
EFT GAS STATION,Fuel/Gas
DEBIT PURCHASE AMAZON.COM,Shopping
POS SALE PHARMACY,Health/Fitness
EFT MCDONALDS,Coffee/Dining
VISA POS SUSHI LOC:EAST1661,Coffee/Dining
CARD PURCHASE RALPHS ID:GEWT57297732507583,Groceries
CARD PURCHASE BEST BUY,Shopping
POS SALE MARKET T:071098,Groceries
VISA POS RETAIL,Shopping
POS SALE PIZZA LOC:EAST1661,Coffee/Dining
CARD PURCHASE SHELL GAS,Fuel/Gas
VISA POS MARKET LOC:EAST1661,Groceries
POS SALE SUSHI,Coffee/Dining
POS SALE GYM MEMBERSHIP,Health/Fitness
DEBIT PURCHASE TRADER JOES 836,Groceries
VISA POS METRO RAIL,Transport
POS SALE SHELL GAS,Fuel/Gas
DEBIT PURCHASE TRADER JOES,Groceries
DEBIT PURCHASE RETAIL T:071098,Shopping
CARD PURCHASE WHOLE FOODS LOC:EAST1661,Groceries
VISA POS TARGET 836,Shopping
DEBIT PURCHASE AMAZON.COM,Shopping
DEBIT PURCHASE PHARMACY,Health/Fitness
DEBIT PURCHASE GROCERY,Groceries
SALARY ID:GEWT57297732507583,Transfer/Income
CARD PURCHASE CAFE,Coffee/Dining
CARD PURCHASE CHEVRON LOC:EAST1661,Fuel/Gas
POS SALE APPLE STORE,Shopping
POS SALE SUSHI,Coffee/Dining
POS SALE BEST BUY ID:GEWT57297732507583,Shopping
SALARY,Transfer/Income
DEBIT PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
TRANSFER,Transfer/Income
CARD PURCHASE RESTAURANT LOC:EAST1661,Coffee/Dining
EFT MCDONALDS,Coffee/Dining
VISA POS WHOLE FOODS,Groceries
VISA POS TOLL,Transport
VISA POS SHELL GAS 836,Fuel/Gas
POS SALE TARGET,Shopping
EFT SUSHI,Coffee/Dining
POS SALE PIZZA,Coffee/Dining
POS SALE TRADER JOES T:071098,Groceries
DEBIT PURCHASE GROCERY LOC:EAST1661,Groceries
CARD PURCHASE RETAIL,Shopping
EFT STARBUCKS,Coffee/Dining
CARD PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
POS SALE TARGET,Shopping
EFT RESTAURANT ID:GEWT57297732507583,Coffee/Dining
VISA POS APPLE STORE,Shopping
EFT PIZZA,Coffee/Dining
POS SALE RETAIL,Shopping
VISA POS MCDONALDS ID:GEWT57297732507583,Coffee/Dining
EFT UBER TRIP,Transport
POS SALE APPLE STORE,Shopping
EFT DOCTOR,Health/Fitness
VISA POS RALPHS,Groceries
DEBIT PURCHASE DOCTOR LOC:EAST1661,Health/Fitness
CARD PURCHASE SUSHI,Coffee/Dining
POS SALE BEST BUY,Shopping
DEBIT PURCHASE APPLE STORE T:071098,Shopping
DEBIT PURCHASE RALPHS,Groceries
POS SALE AMAZON.COM T:071098,Shopping
DEBIT PURCHASE METRO RAIL,Transport
VISA POS RESTAURANT,Coffee/Dining
POS SALE SUSHI,Coffee/Dining
VISA POS STARBUCKS 836,Coffee/Dining
VISA POS MARKET,Groceries
POS SALE WHOLE FOODS T:071098,Groceries
EFT GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE TARGET,Shopping
POS SALE TRADER JOES,Groceries
DEBIT PURCHASE AMAZON.COM,Shopping
POS SALE EXXON,Fuel/Gas
POS SALE GROCERY T:071098,Groceries
VENMO CASH IN,Transfer/Income
EFT TARGET,Shopping
EFT CAFE ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE CAFE,Coffee/Dining
CARD PURCHASE AMAZON.COM ID:GEWT57297732507583,Shopping
CARD PURCHASE GAS STATION,Fuel/Gas
POS SALE STARBUCKS,Coffee/Dining
VISA POS EXXON ID:GEWT57297732507583,Fuel/Gas
CARD PURCHASE SUSHI ID:GEWT57297732507583,Coffee/Dining
POS SALE PUMP,Fuel/Gas
SALARY,Transfer/Income
EFT PIZZA 836,Coffee/Dining
EFT UBER TRIP LOC:EAST1661,Transport
CARD PURCHASE RALPHS 836,Groceries
DEBIT PURCHASE APPLE STORE 836,Shopping
DEBIT PURCHASE GROCERY LOC:EAST1661,Groceries
VENMO CASH IN,Transfer/Income
ELEC BILL,Utilities
DEBIT PURCHASE CHEVRON,Fuel/Gas
POS SALE RALPHS,Groceries
VISA POS LYFT 836,Transport
POS SALE RETAIL ID:GEWT57297732507583,Shopping
POS SALE GYM MEMBERSHIP 836,Health/Fitness
EFT CAFE,Coffee/Dining
EFT TRADER JOES,Groceries
CABLE 836,Utilities
CARD PURCHASE MCDONALDS 836,Coffee/Dining
POS SALE GROCERY ID:GEWT57297732507583,Groceries
CARD PURCHASE AMAZON.COM LOC:EAST1661,Shopping
CARD PURCHASE RALPHS,Groceries
PAYROLL,Transfer/Income
ELEC BILL,Utilities
EFT AMAZON.COM 836,Shopping
CARD PURCHASE PUMP,Fuel/Gas
POS SALE MCDONALDS T:071098,Coffee/Dining
EFT RALPHS,Groceries
POS SALE APPLE STORE,Shopping
DEBIT PURCHASE SUSHI,Coffee/Dining
VISA POS BEST BUY 836,Shopping
VISA POS RALPHS 836,Groceries
POS SALE GROCERY ID:GEWT57297732507583,Groceries
EFT BEST BUY,Shopping
POS SALE PIZZA,Coffee/Dining
TRANSFER 836,Transfer/Income
VISA POS GROCERY,Groceries
CARD PURCHASE GROCERY,Groceries
POS SALE SHELL GAS,Fuel/Gas
TRANSFER,Transfer/Income
VISA POS MARKET LOC:EAST1661,Groceries
EFT DOCTOR 836,Health/Fitness
PAYROLL,Transfer/Income
EFT TRADER JOES,Groceries
DEBIT PURCHASE UBER TRIP,Transport
AEP,Utilities
VISA POS TARGET ID:GEWT57297732507583,Shopping
EFT APPLE STORE,Shopping
VISA POS BEST BUY,Shopping
TRANSFER,Transfer/Income
EFT WHOLE FOODS,Groceries
EFT TARGET,Shopping
POS SALE MARKET,Groceries
AEP,Utilities
CARD PURCHASE AMAZON.COM,Shopping
POS SALE RALPHS,Groceries
POS SALE TRADER JOES 836,Groceries
POS SALE WHOLE FOODS,Groceries
EFT CAFE,Coffee/Dining
TRANSFER,Transfer/Income
POS SALE STARBUCKS T:071098,Coffee/Dining
PAYROLL ID:GEWT57297732507583,Transfer/Income
DEBIT PURCHASE RALPHS LOC:EAST1661,Groceries
COMCAST,Utilities
VISA POS GROCERY,Groceries
POS SALE PHARMACY ID:GEWT57297732507583,Health/Fitness
CARD PURCHASE PUMP,Fuel/Gas
DEBIT PURCHASE EXXON T:071098,Fuel/Gas
POS SALE STARBUCKS ID:GEWT57297732507583,Coffee/Dining
VISA POS SUSHI ID:GEWT57297732507583,Coffee/Dining
EFT TARGET,Shopping
CARD PURCHASE STARBUCKS 836,Coffee/Dining
ELEC BILL,Utilities
DEBIT PURCHASE CAFE,Coffee/Dining
TRANSFER 836,Transfer/Income
CARD PURCHASE CAFE,Coffee/Dining
DEBIT PURCHASE MARKET,Groceries
EFT MARKET,Groceries
CARD PURCHASE RESTAURANT,Coffee/Dining
VISA POS WHOLE FOODS,Groceries
POS SALE RALPHS,Groceries
EFT LYFT,Transport
DEBIT PURCHASE TRADER JOES ID:GEWT57297732507583,Groceries
POS SALE AMAZON.COM,Shopping
POS SALE BEST BUY 836,Shopping
WATER SERVICE,Utilities
DEBIT PURCHASE RALPHS,Groceries
EFT UBER TRIP 836,Transport
POS SALE PIZZA LOC:EAST1661,Coffee/Dining
CARD PURCHASE SUSHI ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE BEST BUY T:071098,Shopping
VISA POS UBER TRIP ID:GEWT57297732507583,Transport
VISA POS SHELL GAS ID:GEWT57297732507583,Fuel/Gas
VISA POS TRADER JOES 836,Groceries
DEBIT PURCHASE GROCERY LOC:EAST1661,Groceries
DEBIT PURCHASE TARGET ID:GEWT57297732507583,Shopping
POS SALE APPLE STORE,Shopping
VISA POS BEST BUY,Shopping
CARD PURCHASE WHOLE FOODS,Groceries
ELEC BILL,Utilities
EFT MARKET 836,Groceries
VISA POS PUMP,Fuel/Gas
DEBIT PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
VISA POS EXXON,Fuel/Gas
DEBIT PURCHASE PUMP,Fuel/Gas
CARD PURCHASE DOCTOR,Health/Fitness
VISA POS WHOLE FOODS,Groceries
DEBIT PURCHASE PIZZA LOC:EAST1661,Coffee/Dining
VISA POS SUSHI T:071098,Coffee/Dining
DEBIT PURCHASE EXXON,Fuel/Gas
CARD PURCHASE RETAIL,Shopping
PAYROLL ID:GEWT57297732507583,Transfer/Income
POS SALE STARBUCKS,Coffee/Dining
EFT APPLE STORE 836,Shopping
DEBIT PURCHASE RESTAURANT ID:GEWT57297732507583,Coffee/Dining
EFT SHELL GAS ID:GEWT57297732507583,Fuel/Gas
EFT SUSHI,Coffee/Dining
POS SALE WHOLE FOODS,Groceries
DEBIT PURCHASE TARGET T:071098,Shopping
CARD PURCHASE AMAZON.COM ID:GEWT57297732507583,Shopping
DEBIT PURCHASE CHEVRON,Fuel/Gas
POS SALE TOLL,Transport
POS SALE WHOLE FOODS T:071098,Groceries
CARD PURCHASE TRADER JOES,Groceries
CARD PURCHASE TARGET T:071098,Shopping
CABLE 836,Utilities
DEBIT PURCHASE MCDONALDS,Coffee/Dining
VISA POS AMAZON.COM,Shopping
EFT CAFE 836,Coffee/Dining
DEBIT PURCHASE TARGET LOC:EAST1661,Shopping
CARD PURCHASE BEST BUY,Shopping
DEBIT PURCHASE GROCERY,Groceries
POS SALE PHARMACY,Health/Fitness
POS SALE METRO RAIL,Transport
POS SALE TOLL T:071098,Transport
PAYROLL,Transfer/Income
POS SALE SHELL GAS 836,Fuel/Gas
CARD PURCHASE STARBUCKS T:071098,Coffee/Dining
POS SALE METRO RAIL,Transport
EFT TRADER JOES,Groceries
VISA POS RETAIL,Shopping
VENMO CASH IN,Transfer/Income
TRANSFER ID:GEWT57297732507583,Transfer/Income
CARD PURCHASE STARBUCKS,Coffee/Dining
EFT WHOLE FOODS,Groceries
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE GAS STATION,Fuel/Gas
PAYROLL,Transfer/Income
DEBIT PURCHASE CHEVRON,Fuel/Gas
DEBIT PURCHASE PUMP,Fuel/Gas
EFT TARGET LOC:EAST1661,Shopping
VISA POS GROCERY,Groceries
VISA POS SUSHI,Coffee/Dining
POS SALE AMAZON.COM,Shopping
VISA POS CHEVRON T:071098,Fuel/Gas
DEBIT PURCHASE APPLE STORE ID:GEWT57297732507583,Shopping
DEBIT PURCHASE MARKET,Groceries
EFT EXXON,Fuel/Gas
VENMO CASH IN LOC:EAST1661,Transfer/Income
VENMO CASH IN,Transfer/Income
POS SALE TARGET,Shopping
POS SALE WHOLE FOODS 836,Groceries
EFT CHEVRON,Fuel/Gas
TRANSFER ID:GEWT57297732507583,Transfer/Income
EFT BEST BUY,Shopping
VISA POS SHELL GAS LOC:EAST1661,Fuel/Gas
CARD PURCHASE RESTAURANT T:071098,Coffee/Dining
DEBIT PURCHASE SUSHI,Coffee/Dining
WATER SERVICE 836,Utilities
EFT LYFT,Transport
CARD PURCHASE EXXON,Fuel/Gas
EFT LYFT,Transport
DEBIT PURCHASE SUSHI LOC:EAST1661,Coffee/Dining
EFT BEST BUY ID:GEWT57297732507583,Shopping
DEBIT PURCHASE METRO RAIL T:071098,Transport
SALARY,Transfer/Income
PAYROLL T:071098,Transfer/Income
VISA POS TARGET,Shopping
CARD PURCHASE STARBUCKS,Coffee/Dining
CARD PURCHASE MCDONALDS 836,Coffee/Dining
DEBIT PURCHASE MCDONALDS,Coffee/Dining
CARD PURCHASE GROCERY,Groceries
POS SALE SUSHI,Coffee/Dining
EFT MCDONALDS,Coffee/Dining
EFT GAS STATION,Fuel/Gas
DEBIT PURCHASE RALPHS LOC:EAST1661,Groceries
CARD PURCHASE STARBUCKS T:071098,Coffee/Dining
VISA POS GAS STATION,Fuel/Gas
AEP,Utilities
CARD PURCHASE MARKET,Groceries
VISA POS TARGET T:071098,Shopping
VENMO CASH IN 836,Transfer/Income
DEBIT PURCHASE AMAZON.COM,Shopping
EFT RESTAURANT,Coffee/Dining
POS SALE TRADER JOES,Groceries
CABLE 836,Utilities
POS SALE RALPHS,Groceries
VISA POS TARGET T:071098,Shopping
VISA POS APPLE STORE,Shopping
VISA POS WHOLE FOODS,Groceries
VISA POS MARKET LOC:EAST1661,Groceries
POS SALE MARKET,Groceries
POS SALE GROCERY LOC:EAST1661,Groceries
DEBIT PURCHASE RALPHS,Groceries
ELEC BILL,Utilities
VISA POS TARGET,Shopping
TRANSFER,Transfer/Income
VISA POS SUSHI 836,Coffee/Dining
POS SALE PHARMACY,Health/Fitness
EFT AMAZON.COM,Shopping
POS SALE BEST BUY LOC:EAST1661,Shopping
COMCAST ID:GEWT57297732507583,Utilities
EFT AMAZON.COM,Shopping
VISA POS TRADER JOES,Groceries
VISA POS GROCERY,Groceries
POS SALE PUMP LOC:EAST1661,Fuel/Gas
EFT TARGET ID:GEWT57297732507583,Shopping
SALARY,Transfer/Income
EFT RALPHS,Groceries
VISA POS GAS STATION LOC:EAST1661,Fuel/Gas
CARD PURCHASE BEST BUY 836,Shopping
VISA POS LYFT LOC:EAST1661,Transport
TRANSFER T:071098,Transfer/Income
TRANSFER,Transfer/Income
EFT STARBUCKS,Coffee/Dining
VISA POS AMAZON.COM,Shopping
EFT GYM MEMBERSHIP T:071098,Health/Fitness
VISA POS RETAIL T:071098,Shopping
WATER SERVICE,Utilities
VISA POS TRADER JOES 836,Groceries
DEBIT PURCHASE GAS STATION T:071098,Fuel/Gas
CARD PURCHASE RETAIL,Shopping
POS SALE TRADER JOES T:071098,Groceries
CARD PURCHASE UBER TRIP 836,Transport
EFT TARGET,Shopping
PAYROLL 836,Transfer/Income
POS SALE SUSHI,Coffee/Dining
AEP,Utilities
POS SALE RALPHS LOC:EAST1661,Groceries
POS SALE WHOLE FOODS 836,Groceries
EFT MCDONALDS,Coffee/Dining
POS SALE STARBUCKS,Coffee/Dining
POS SALE TARGET,Shopping
POS SALE WHOLE FOODS,Groceries
VISA POS APPLE STORE LOC:EAST1661,Shopping
EFT AMAZON.COM,Shopping
CARD PURCHASE MCDONALDS,Coffee/Dining
CARD PURCHASE PUMP,Fuel/Gas
POS SALE LYFT T:071098,Transport
VISA POS TARGET,Shopping
VISA POS BEST BUY,Shopping
TRANSFER,Transfer/Income
DEBIT PURCHASE MCDONALDS,Coffee/Dining
POS SALE MARKET LOC:EAST1661,Groceries
EFT RALPHS,Groceries
VISA POS GROCERY,Groceries
POS SALE RESTAURANT,Coffee/Dining
DEBIT PURCHASE GROCERY,Groceries
EFT RESTAURANT,Coffee/Dining
POS SALE PHARMACY 836,Health/Fitness
CARD PURCHASE CAFE LOC:EAST1661,Coffee/Dining
CARD PURCHASE MCDONALDS,Coffee/Dining
CARD PURCHASE TRADER JOES,Groceries
DEBIT PURCHASE RETAIL T:071098,Shopping
DEBIT PURCHASE CHEVRON,Fuel/Gas
DEBIT PURCHASE RESTAURANT T:071098,Coffee/Dining
VISA POS CAFE,Coffee/Dining
VISA POS WHOLE FOODS,Groceries
POS SALE WHOLE FOODS,Groceries
VISA POS BEST BUY T:071098,Shopping
EFT PHARMACY T:071098,Health/Fitness
POS SALE SHELL GAS ID:GEWT57297732507583,Fuel/Gas
VISA POS RALPHS,Groceries
VISA POS TOLL,Transport
POS SALE MCDONALDS,Coffee/Dining
CARD PURCHASE LYFT,Transport
EFT WHOLE FOODS,Groceries
CARD PURCHASE GAS STATION ID:GEWT57297732507583,Fuel/Gas
DEBIT PURCHASE PIZZA T:071098,Coffee/Dining
EFT BEST BUY LOC:EAST1661,Shopping
EFT MARKET,Groceries
EFT MCDONALDS ID:GEWT57297732507583,Coffee/Dining
VISA POS CAFE,Coffee/Dining
SALARY 836,Transfer/Income
CARD PURCHASE SHELL GAS,Fuel/Gas
EFT PIZZA LOC:EAST1661,Coffee/Dining
DEBIT PURCHASE MARKET ID:GEWT57297732507583,Groceries
VENMO CASH IN,Transfer/Income
POS SALE PIZZA 836,Coffee/Dining
CARD PURCHASE WHOLE FOODS,Groceries
DEBIT PURCHASE SUSHI,Coffee/Dining
DEBIT PURCHASE DOCTOR,Health/Fitness
VISA POS APPLE STORE T:071098,Shopping
CARD PURCHASE GYM MEMBERSHIP T:071098,Health/Fitness
CARD PURCHASE TRADER JOES,Groceries
DEBIT PURCHASE MCDONALDS,Coffee/Dining
POS SALE TRADER JOES,Groceries
EFT PHARMACY T:071098,Health/Fitness
POS SALE WHOLE FOODS ID:GEWT57297732507583,Groceries
CARD PURCHASE MCDONALDS,Coffee/Dining
VISA POS EXXON,Fuel/Gas
VISA POS SUSHI 836,Coffee/Dining
DEBIT PURCHASE LYFT 836,Transport
POS SALE GAS STATION T:071098,Fuel/Gas
CARD PURCHASE MARKET T:071098,Groceries
DEBIT PURCHASE APPLE STORE,Shopping
VISA POS GROCERY,Groceries
VISA POS MCDONALDS ID:GEWT57297732507583,Coffee/Dining
EFT MARKET,Groceries
CARD PURCHASE GYM MEMBERSHIP,Health/Fitness
DEBIT PURCHASE CHEVRON,Fuel/Gas
CARD PURCHASE UBER TRIP,Transport
DEBIT PURCHASE MARKET LOC:EAST1661,Groceries
CARD PURCHASE GROCERY,Groceries
DEBIT PURCHASE APPLE STORE,Shopping
POS SALE RESTAURANT,Coffee/Dining
CARD PURCHASE GROCERY,Groceries
CARD PURCHASE EXXON T:071098,Fuel/Gas
POS SALE RALPHS,Groceries
CARD PURCHASE SUSHI,Coffee/Dining
CARD PURCHASE SHELL GAS,Fuel/Gas
DEBIT PURCHASE MCDONALDS,Coffee/Dining
VISA POS BEST BUY,Shopping
DEBIT PURCHASE APPLE STORE,Shopping
CARD PURCHASE UBER TRIP,Transport
CARD PURCHASE CAFE,Coffee/Dining
TRANSFER,Transfer/Income
VISA POS PUMP,Fuel/Gas
CARD PURCHASE BEST BUY T:071098,Shopping
EFT AMAZON.COM,Shopping
PAYROLL 836,Transfer/Income
POS SALE SUSHI ID:GEWT57297732507583,Coffee/Dining
DEBIT PURCHASE SHELL GAS ID:GEWT57297732507583,Fuel/Gas
VISA POS STARBUCKS T:071098,Coffee/Dining
VISA POS STARBUCKS T:071098,Coffee/Dining
CARD PURCHASE UBER TRIP,Transport
EFT RETAIL,Shopping
EFT APPLE STORE,Shopping
VISA POS WHOLE FOODS,Groceries
VISA POS APPLE STORE,Shopping
VISA POS WHOLE FOODS 836,Groceries
DEBIT PURCHASE DOCTOR ID:GEWT57297732507583,Health/Fitness
POS SALE GROCERY,Groceries
DEBIT PURCHASE RETAIL,Shopping
EFT TARGET,Shopping
DEBIT PURCHASE GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE TRADER JOES,Groceries
POS SALE GAS STATION,Fuel/Gas
DEBIT PURCHASE AMAZON.COM,Shopping
TRANSFER,Transfer/Income
EFT WHOLE FOODS,Groceries
POS SALE APPLE STORE,Shopping
CARD PURCHASE PIZZA,Coffee/Dining
POS SALE RETAIL T:071098,Shopping
EFT TOLL,Transport
DEBIT PURCHASE TARGET,Shopping
VISA POS MCDONALDS ID:GEWT57297732507583,Coffee/Dining
EFT STARBUCKS 836,Coffee/Dining
CARD PURCHASE WHOLE FOODS 836,Groceries
POS SALE GROCERY 836,Groceries
POS SALE GROCERY,Groceries
CARD PURCHASE PIZZA,Coffee/Dining
VISA POS RALPHS,Groceries
DEBIT PURCHASE SUSHI,Coffee/Dining
VISA POS GYM MEMBERSHIP,Health/Fitness
CARD PURCHASE GROCERY T:071098,Groceries
EFT GAS STATION,Fuel/Gas
EFT TARGET,Shopping
VISA POS RETAIL,Shopping
VISA POS RETAIL,Shopping
CARD PURCHASE APPLE STORE,Shopping
POS SALE MCDONALDS ID:GEWT57297732507583,Coffee/Dining
VISA POS RESTAURANT,Coffee/Dining
POS SALE PIZZA LOC:EAST1661,Coffee/Dining
CARD PURCHASE PIZZA T:071098,Coffee/Dining
VISA POS GROCERY LOC:EAST1661,Groceries
VISA POS CHEVRON,Fuel/Gas
EFT TRADER JOES,Groceries
POS SALE EXXON,Fuel/Gas
VISA POS RALPHS,Groceries
